Action,Type,Expected Profit,Symbol,Fast Period,Slow Period,Trend Time,Entry Time,Trend,Timestamp,Volume,Order,Deal,Price,Date,Actual Profit,Win
DEAL,BUY,4.0,Volatility 50 Index,8,34,300,60,3,1659896594.378347,3.0,1656313639,1584163864,212.1789,07/08/2022 19:23,-0.39,False
DEAL,BUY,4.0,Volatility 100 (1s) Index,8,34,300,60,3,1659896594.995617,0.15,1656313660,1584163885,1583.03,07/08/2022 19:23,-0.1,False
DEAL,BUY,4.0,Volatility 25 Index,8,34,300,60,3,1659896594.999622,0.5,1656313653,1584163878,1830.15,07/08/2022 19:23,-0.11,False
DEAL,BUY,4.0,Volatility 10 (1s) Index,8,34,300,60,3,1659896594.997616,0.2,1656313662,1584163887,8759.87,07/08/2022 19:23,-0.19,False
DEAL,BUY,4.0,Volatility 75 (1s) Index,8,34,300,60,3,1659896595.002614,0.15,1656313673,1584163898,5299.77,07/08/2022 19:23,0.53,True
DEAL,BUY,4.0,Volatility 10 Index,8,34,300,60,3,1659896595.643989,0.3,1656313683,1584163907,6717.891,07/08/2022 19:23,0.1,True
DEAL,BUY,4.0,Volatility 10 Index,8,34,M5,M1,3,1659904847.680192,0.3,1656473817,1584322927,6719.275,07/08/2022 21:40
DEAL,BUY,4.0,Volatility 25 Index,8,34,M5,M1,3,1659904847.685188,0.5,1656473841,1584322951,1821.278,07/08/2022 21:40
DEAL,BUY,4.0,Volatility 100 Index,8,34,M5,M1,3,1659904849.474729,0.2,1656473848,1584322958,21283.61,07/08/2022 21:40
DEAL,BUY,4.0,Volatility 10 (1s) Index,8,34,M5,M1,3,1659904849.478726,0.2,1656473853,1584322963,8771.89,07/08/2022 21:40
DEAL,BUY,4.0,Volatility 100 (1s) Index,8,34,M5,M1,3,1659904849.481724,0.2,1656473870,1584322980,1597.04,07/08/2022 21:40
DEAL,BUY,4.0,Volatility 50 Index,8,34,M5,M1,3,1659904849.480725,3.0,1656473861,1584322971,211.4846,07/08/2022 21:40
